TRADEDATE,AFLT,CHMF,GAZP,GMKN,HYDR,IMOEX,LKOH,MAGN,MGNT,MTSS,NLMK,POLY,ROSN,SBER,SBERP,SNGSP,TATN,VTBR,YNDX
2015-04-29,39.5,570.6,152.5,9552.0,0.58,1670.99,2610.0,14.641,11458.0,258.0,68.0,,255.0,75.2,49.71,39.27,296.75,0.0631,997.0
2015-04-30,38.15,578.55,153.5,9640.0,0.5985,1688.34,2645.6,15.12,11280.0,265.0,68.28,,256.5,76.9,50.0,38.85,292.35,0.0655,1001.0
2015-05-05,40.2,576.5,156.33,10170.0,0.63,1721.8,2655.0,15.103,11038.0,267.25,68.4,419.0,261.5,80.21,52.0,41.36,303.75,0.06855,985.0
2015-05-06,40.41,571.8,155.25,10500.0,0.623,1714.31,2660.0,14.678,11083.0,262.55,67.76,424.5,259.9,79.2,52.28,41.59,309.9,0.06831,1006.0
2015-05-07,40.02,583.0,152.1,10201.0,0.6122,1686.98,2650.5,14.75,11090.0,260.0,68.78,420.0,255.25,76.5,50.72,41.0,301.3,0.06752,968.0
2015-05-08,40.7,589.8,155.52,10540.0,0.6132,1708.52,2691.6,14.665,11295.0,264.85,69.0,445.5,259.45,75.5,50.79,40.9,303.25,0.0675,979.0
2015-05-12,40.5,617.0,154.2,10680.0,0.622,1704.62,2698.6,14.999,11220.0,266.3,72.69,438.5,258.35,75.19,49.43,37.48,308.85,0.06647,979.0
2015-05-13,41.49,595.7,151.74,10435.0,0.6124,1682.26,2620.0,14.511,11100.0,271.0,70.01,438.0,252.45,75.24,50.0,38.105,303.2,0.066,944.0
2015-05-14,41.09,620.3,151.8,10245.0,0.6165,1677.57,2610.1,14.71,11240.0,268.7,71.88,441.0,255.7,74.31,50.3,38.005,298.55,0.06515,971.0
2015-05-15,40.61,621.7,152.98,10288.0,0.6137,1691.46,2595.0,15.352,11372.0,269.05,72.1,432.5,257.45,75.05,50.36,39.1,296.7,0.06843,950.0
2015-05-18,40.52,605.2,151.9,10248.0,0.6121,1678.55,2550.0,15.06,11042.0,267.65,70.8,433.5,256.1,75.36,50.45,39.445,293.75,0.071,944.0
2015-05-19,39.9,603.9,149.85,10039.0,0.5945,1659.36,2530.0,14.82,10986.0,260.0,69.7,421.5,252.25,73.35,49.68,39.45,294.95,0.07202,939.0
